Optical constants for Titan, Khare 1984
n = real part of index of refraction
k = a *10^-b = imaginary part of index of refraction
l(um)    a     b      n
920.0   3.0   3.0   2.17
850.0   1.0   2.0   2.17
774.9   2.9   2.0   2.16
688.8   4.7   2.0   2.16
563.5   7.0   2.0   2.15
387.4   1.0   1.0   2.12
229.6   1.4   1.0   2.07
172.2   1.6   1.0   2.04
140.9   1.6   1.0   2.03
121.5   1.9   1.0   2.02
81.57   2.1   1.0   1.93
56.35   1.9   1.0   1.86
36.46   1.5   1.0   1.81
31.00   1.4   1.0   1.81
22.14   1.8   1.0   1.80
18.23   2.1   1.0   1.76
17.71   2.1   1.0   1.74
14.42   1.7   1.0   1.67
12.91   1.4   1.0   1.67
11.70   9.7   2.0   1.64
11.07   7.9   2.0   1.66
10.51   7.5   2.0   1.67
8.731   9.2   2.0   1.71
7.653   1.3   1.0   1.72
7.044   1.7   1.0   1.69
6.666   2.2   1.0   1.69
6.457   2.6   1.0   1.64
6.326   2.8   1.0   1.58
5.961   1.5   1.0   1.43
5.848   7.0   2.0   1.44
5.740   2.9   2.0   1.48
5.438   1.1   2.0   1.55
5.253   8.7   3.0   1.58
5.166   7.6   3.0   1.58
4.881   1.0   2.0   1.61
4.626   2.7   2.0   1.62
4.592   2.8   2.0   1.61
4.492   1.4   2.0   1.61
4.428   1.1   2.0   1.61
4.217   1.0   2.0   1.63
3.948   1.3   2.0   1.64
3.668   2.1   2.0   1.65
3.463   3.5   2.0   1.65
3.246   5.6   2.0   1.65
3.009   7.5   2.0   1.61
2.938   6.0   2.0   1.59
2.818   2.4   2.0   1.58
2.743   1.1   2.0   1.59
2.695   4.1   3.0   1.60
2.422   1.2   3.0   1.62
2.403   8.5   4.0   1.62
2.393   8.0   4.0   1.62
2.214   8.9   4.0   1.63
2.019   7.2   4.0   1.63
1.873   5.2   4.0   1.63
1.823   4.4   4.0   1.64
1.813   4.2   4.0   1.64
1.802   4.0   4.0   1.64
1.381   4.1   4.0   1.64
1.357   4.2   4.0   1.64
1.192   5.2   4.0   1.65
1.148   6.4   4.0   1.65
1.016   1.0   3.0   1.65
0.8731  2.4   3.0   1.66
0.6888  8.8   3.0   1.68
0.5635  2.3   2.0   1.70
0.4428  6.0   2.0   1.72
0.4133  7.6   2.0   1.69
0.3874  9.1   2.0   1.66
0.3542  1.1   1.0   1.63
0.3263  1.3   1.0   1.64
0.2952  1.5   1.0   1.66
0.2638  1.8   1.0   1.68
0.2384  2.1   1.0   1.68
0.1968  2.2   1.0   1.66
0.1631  2.4   1.0   1.65
0.1362  2.7   1.0   1.70
0.1215  3.7   1.0   1.74
0.1181  4.0   1.0   1.75
0.1159  4.3   1.0   1.75
0.1097  5.0   1.0   1.72
0.1016  5.8   1.0   1.67
0.0925  6.7   1.0   1.58
0.0800  7.7   1.0   1.37
0.0785  7.7   1.0   1.33
0.0588  6.2   1.0   0.963
0.0449  3.8   1.0   0.812
0.0415  3.1   1.0   0.802
0.0312  1.4   1.0   0.850
0.0207  4.9   2.0   0.920
