# wave(Ang)   flux_at_Earth(erg/cm2/s/A)
1.172000000000000000e+03   2.590252760251584071e-18
1.172500000000000000e+03   2.438774329998318079e-18
1.173000000000000000e+03   2.287295899745052088e-18
1.173500000000000000e+03   2.135817469491785712e-18
1.174000000000000000e+03   8.332656925607487456e-18
1.174500000000000000e+03   2.580634574360528238e-17
1.175000000000000000e+03   4.328003456160308501e-17
1.175500000000000000e+03   7.693415854610557755e-17
1.176000000000000000e+03   8.767027124473717923e-17
1.176500000000000000e+03   4.038617149896250552e-17
1.177000000000000000e+03   2.220777656578568365e-17
1.177500000000000000e+03   5.992783477886705573e-18
1.178000000000000000e+03   2.295431921140069297e-18
1.178500000000000000e+03   2.011755732510476090e-18
1.179000000000000000e+03   1.728079543880882882e-18
1.179500000000000000e+03   1.757485120839771600e-18
1.180000000000000000e+03   1.842335587965795007e-18
1.180500000000000000e+03   1.927186055091818799e-18
1.181000000000000000e+03   2.012036522217842591e-18
1.181500000000000000e+03   2.102727508494741237e-18
1.182000000000000000e+03   2.203073811535555554e-18
1.182500000000000000e+03   2.303420114576369486e-18
1.183000000000000000e+03   2.403766417617183803e-18
1.183500000000000000e+03   2.503791263251150818e-18
1.184000000000000000e+03   2.529524647648829082e-18
1.184500000000000000e+03   2.555258032046506962e-18
1.185000000000000000e+03   2.580991416444184841e-18
1.185500000000000000e+03   2.606724800841862720e-18
1.186000000000000000e+03   2.616673462174197348e-18
1.186500000000000000e+03   2.550744672392861725e-18
1.187000000000000000e+03   2.484815882611526102e-18
1.187500000000000000e+03   2.418887092830190864e-18
1.188000000000000000e+03   2.716158068231346418e-18
1.188500000000000000e+03   3.477429956830919389e-18
1.189000000000000000e+03   4.186649628677285483e-18
1.189500000000000000e+03   4.549108356968789315e-18
1.190000000000000000e+03   4.898603418544700541e-18
1.190500000000000000e+03   5.206189469910462125e-18
1.191000000000000000e+03   5.242671385548910481e-18
1.191500000000000000e+03   4.402690543984224458e-18
1.192000000000000000e+03   3.562709702419538436e-18
1.192500000000000000e+03   4.217601581441282483e-18
1.193000000000000000e+03   6.247713800233345218e-18
1.193500000000000000e+03   6.730250544796138091e-18
1.194000000000000000e+03   5.445762928501438068e-18
1.194500000000000000e+03   7.373346013967617188e-18
1.195000000000000000e+03   7.652337016479308306e-18
1.195500000000000000e+03   4.803082224590667062e-18
1.196000000000000000e+03   2.764415372459885706e-18
1.196500000000000000e+03   3.901617976706417141e-18
1.197000000000000000e+03   5.038820580952947421e-18
1.197500000000000000e+03   5.059180018966439986e-18
1.198000000000000000e+03   3.857738374096250668e-18
1.198500000000000000e+03   3.353471428702045685e-18
1.199000000000000000e+03   3.819054118341046582e-18
1.199500000000000000e+03   3.916696265607371909e-18
1.200000000000000000e+03   3.952261651053450857e-18
1.200500000000000000e+03   3.986503048483558031e-18
1.201000000000000000e+03   4.018707030089864798e-18
1.201500000000000000e+03   3.783289763666695982e-18
1.202000000000000000e+03   3.512505963036839672e-18
1.202500000000000000e+03   3.683613716659041148e-18
1.203000000000000000e+03   3.661521319485055767e-18
1.203500000000000000e+03   3.045932570557026712e-18
1.204000000000000000e+03   2.671965114255587355e-18
1.204500000000000000e+03   3.796532233916651317e-18
1.205000000000000000e+03   4.857065638479576143e-18
1.205500000000000000e+03   5.728086482549749680e-18
1.206000000000000000e+03   1.741502872049362812e-17
1.206500000000000000e+03   1.036192152698945975e-16
1.207000000000000000e+03   8.027430772894050935e-17
1.207500000000000000e+03   6.081952946347222801e-18
1.208000000000000000e+03   4.608794241495674034e-18
1.208500000000000000e+03   5.803138596148796149e-18
1.209000000000000000e+03   8.643434764316569105e-18
1.209500000000000000e+03   8.961449183632354132e-18
1.210000000000000000e+03   8.367516932883734739e-18
1.210500000000000000e+03   1.007235674271136701e-17
1.211000000000000000e+03   1.235796882951912162e-17
1.211500000000000000e+03   1.552236560187302642e-17
1.212000000000000000e+03   2.008325687156827645e-17
1.212500000000000000e+03   2.700662812672161225e-17
1.213000000000000000e+03   3.827234673250497951e-17
1.213500000000000000e+03   5.850110599893669643e-17
1.214000000000000000e+03   1.007952990420438772e-16
1.214500000000000000e+03   2.174408185662212341e-16
1.215000000000000000e+03   1.087467351802428033e-15
1.215500000000000000e+03   2.590317305114924437e-14
1.216000000000000000e+03   1.201527341293167008e-14
1.216500000000000000e+03   5.124757676234144979e-16
1.217000000000000000e+03   1.638556388008362039e-16
1.217500000000000000e+03   8.323604671592703117e-17
1.218000000000000000e+03   5.055085483439191877e-17
1.218500000000000000e+03   3.399808538151472629e-17
1.219000000000000000e+03   2.444407847787965583e-17
1.219500000000000000e+03   1.842588759935013682e-17
1.220000000000000000e+03   1.438870206846264964e-17
1.220500000000000000e+03   1.154836664484688569e-17
1.221000000000000000e+03   9.474037718489228736e-18
1.221500000000000000e+03   7.912840696172894007e-18
1.222000000000000000e+03   6.708343368531777546e-18
1.222500000000000000e+03   5.759528046275514641e-18
1.223000000000000000e+03   4.998785614017222924e-18
