kepler62
wavelength(angstroms)     flux(erg/cm2/s/a)
           0.000             0.000000E+00
           0.001             0.000000E+00
           0.002             0.000000E+00
           0.003             0.000000E+00
           0.004             0.000000E+00
           0.005             0.000000E+00
           0.007             0.000000E+00
           0.009             0.000000E+00
           0.012             0.000000E+00
           0.015             0.000000E+00
           0.019             0.000000E+00
           0.023             0.000000E+00
           0.029             0.000000E+00
           0.035             0.000000E+00
           0.043             0.000000E+00
           0.052             0.000000E+00
           0.062             0.000000E+00
           0.074             0.000000E+00
           0.088             0.000000E+00
           0.103             0.000000E+00
           0.121             0.000000E+00
           0.141             0.000000E+00
           0.164             0.000000E+00
           0.189             0.000000E+00
           0.217             0.000000E+00
           0.249             0.000000E+00
           0.284             0.000000E+00
           0.324             0.000000E+00
           0.367             0.000000E+00
           0.415             0.000000E+00
           0.467             0.000000E+00
           0.525             0.000000E+00
           0.588             0.000000E+00
           0.658             0.000000E+00
           0.733             0.000000E+00
           0.815             0.000000E+00
           0.904             0.000000E+00
           1.001             0.000000E+00
           1.105             0.000000E+00
           1.218             0.000000E+00
           1.339             0.000000E+00
           1.470             0.000000E+00
           1.610             0.000000E+00
           1.761             0.000000E+00
           1.922             0.000000E+00
           2.095             0.000000E+00
           2.279             0.000000E+00
           2.475             0.000000E+00
           2.684             0.000000E+00
           2.907             0.000000E+00
           3.142             0.000000E+00
           3.393             0.000000E+00
           3.658             0.000000E+00
           3.938             0.000000E+00
           4.234             0.000000E+00
           4.546             0.000000E+00
           4.875             0.000000E+00
           5.221             0.000000E+00
           5.585             0.000000E+00
           5.968             0.000000E+00
           6.369             0.000000E+00
           6.789             0.000000E+00
           7.229             0.000000E+00
           7.689             0.000000E+00
           8.169             0.000000E+00
           8.670             0.000000E+00
           9.193             0.000000E+00
           9.737             0.000000E+00
          10.302             0.000000E+00
          10.890             0.000000E+00
          11.501             0.000000E+00
          12.134             0.000000E+00
          12.790             0.000000E+00
          13.470             0.000000E+00
          14.172             0.000000E+00
          14.898             0.000000E+00
          15.648             0.000000E+00
          16.421             0.000000E+00
          17.218             0.000000E+00
          18.039             0.000000E+00
          18.884             0.000000E+00
          19.752             0.000000E+00
          20.644             0.000000E+00
          21.559             0.000000E+00
          22.498             0.000000E+00
          23.460             0.000000E+00
          24.445             0.000000E+00
          25.453             0.000000E+00
          26.484             0.000000E+00
          27.537             0.000000E+00
          28.611             0.000000E+00
          29.708             0.000000E+00
          30.826             0.000000E+00
          31.964             0.000000E+00
          33.124             0.000000E+00
          34.303             0.000000E+00
          35.502             0.000000E+00
          36.721             0.000000E+00
          37.958             0.000000E+00
          39.213             0.000000E+00
          40.486             0.000000E+00
          41.777             0.000000E+00
          43.084             0.000000E+00
          44.407             0.000000E+00
          45.746             0.000000E+00
          47.100             0.000000E+00
          48.468             0.000000E+00
          49.851             0.000000E+00
          51.247             0.000000E+00
          52.655             0.000000E+00
          54.076             0.000000E+00
          55.508             0.000000E+00
          56.952             0.000000E+00
          58.406             0.000000E+00
          59.870             0.000000E+00
          61.343             0.000000E+00
          62.825             0.000000E+00
          64.316             0.000000E+00
          65.814             0.000000E+00
          67.319             0.000000E+00
          68.831             0.000000E+00
          70.349             0.000000E+00
          71.873             0.000000E+00
          73.402             0.000000E+00
          74.936             0.000000E+00
          76.474             0.000000E+00
          78.016             0.000000E+00
          79.561             0.000000E+00
          81.109             0.000000E+00
          82.659             0.000000E+00
          84.212             0.000000E+00
          85.766             0.000000E+00
          87.322             0.000000E+00
          88.878             0.000000E+00
          90.435             0.000000E+00
          91.992             0.000000E+00
          93.550             0.000000E+00
          95.106             0.000000E+00
          96.662             0.000000E+00
          98.218             0.000000E+00
          99.772             0.000000E+00
         101.324             0.000000E+00
         102.875             0.000000E+00
         104.423             0.000000E+00
         105.970             0.000000E+00
         107.514             0.000000E+00
         109.055             0.000000E+00
         110.593             0.000000E+00
         112.129             0.000000E+00
         113.661             0.000000E+00
         115.190             0.000000E+00
         116.716             0.000000E+00
         118.238             0.000000E+00
         119.756             0.000000E+00
         121.270             0.000000E+00
         122.780             0.000000E+00
         124.286             0.000000E+00
         125.788             0.000000E+00
         127.286             0.000000E+00
         128.779             0.000000E+00
         130.268             0.000000E+00
         131.753             0.000000E+00
         133.233             0.000000E+00
         134.708             0.000000E+00
         136.178             0.000000E+00
         137.644             0.000000E+00
         139.106             0.000000E+00
         140.562             0.000000E+00
         142.014             0.000000E+00
         143.460             0.000000E+00
         144.902             0.000000E+00
         146.340             0.000000E+00
         147.772             0.000000E+00
         149.199             0.000000E+00
         150.622             0.000000E+00
         152.040             0.000000E+00
         153.453             0.000000E+00
         154.861             0.000000E+00
         156.264             0.000000E+00
         157.663             0.000000E+00
         159.056             0.000000E+00
         160.445             0.000000E+00
         161.830             0.000000E+00
         163.209             0.000000E+00
         164.584             0.000000E+00
         165.954             0.000000E+00
         167.320             0.000000E+00
         168.681             0.000000E+00
         170.037             0.000000E+00
         171.389             0.000000E+00
         172.736             0.000000E+00
         174.079             0.000000E+00
         175.418             0.000000E+00
         176.752             0.000000E+00
         178.082             0.000000E+00
         179.407             0.000000E+00
         180.728             0.000000E+00
         182.046             0.000000E+00
         183.358             0.000000E+00
         184.667             0.000000E+00
         185.972             0.000000E+00
         187.273             0.000000E+00
         188.569             0.000000E+00
         189.862             0.000000E+00
         191.151             0.000000E+00
         192.436             0.000000E+00
         193.717             0.000000E+00
         194.995             0.000000E+00
         196.268             0.000000E+00
         197.538             0.000000E+00
         198.805             0.000000E+00
         200.068             0.000000E+00
         201.327             0.000000E+00
         202.583             0.000000E+00
         203.835             0.000000E+00
         205.084             0.000000E+00
         206.330             0.000000E+00
         207.572             0.000000E+00
         208.811             0.000000E+00
         210.047             0.000000E+00
         211.280             0.000000E+00
         212.509             0.000000E+00
         213.735             0.000000E+00
         214.959             0.000000E+00
         216.179             0.000000E+00
         217.397             0.000000E+00
         218.611             0.000000E+00
         219.823             0.000000E+00
         221.031             0.000000E+00
         222.237             0.000000E+00
         223.440             0.000000E+00
         224.641             0.000000E+00
         225.839             0.000000E+00
         227.034             0.000000E+00
         228.226             0.000000E+00
         229.416             0.000000E+00
         230.603             0.000000E+00
         231.788             0.000000E+00
         232.971             0.000000E+00
         234.151             0.000000E+00
         235.328             0.000000E+00
         236.504             0.000000E+00
         237.676             0.000000E+00
         238.847             0.000000E+00
         240.015             0.000000E+00
         241.182             0.000000E+00
         242.346             0.000000E+00
         243.507             0.000000E+00
         244.667             0.000000E+00
         245.824             0.000000E+00
         246.980             0.000000E+00
         248.133             0.000000E+00
         249.285             0.000000E+00
         250.434             0.000000E+00
         251.582             0.000000E+00
         252.727             0.000000E+00
         253.871             0.000000E+00
         255.013             0.000000E+00
         256.153             0.000000E+00
         257.291             0.000000E+00
         258.428             0.000000E+00
         259.562             0.000000E+00
         260.695             0.000000E+00
         261.827             0.000000E+00
         262.956             0.000000E+00
         264.084             0.000000E+00
         265.210             0.000000E+00
         266.335             0.000000E+00
         267.458             0.000000E+00
         268.579             0.000000E+00
         269.699             0.000000E+00
         270.818             0.000000E+00
         271.935             0.000000E+00
         273.050             0.000000E+00
         274.164             0.000000E+00
         275.277             0.000000E+00
         276.388             0.000000E+00
         277.498             0.000000E+00
         278.607             0.000000E+00
         279.714             0.000000E+00
         280.820             0.000000E+00
         281.924             0.000000E+00
         283.027             0.000000E+00
         284.129             0.000000E+00
         285.230             0.000000E+00
         286.329             0.000000E+00
         287.428             0.000000E+00
         288.525             0.000000E+00
         289.620             0.000000E+00
         290.715             0.000000E+00
         291.809             0.000000E+00
         292.901             0.000000E+00
         293.992             0.000000E+00
         295.083             0.000000E+00
         296.172             0.000000E+00
         297.260             0.000000E+00
         298.347             0.000000E+00
         299.433             0.000000E+00
         300.518             0.000000E+00
         301.602             0.000000E+00
         302.684             0.000000E+00
         303.766             0.000000E+00
         304.847             0.000000E+00
         305.927             0.000000E+00
         307.006             0.000000E+00
         308.085             0.000000E+00
         309.162             0.000000E+00
         310.238             0.000000E+00
         311.314             0.000000E+00
         312.388             0.000000E+00
         313.462             0.000000E+00
         314.535             0.000000E+00
         315.607             0.000000E+00
         316.678             0.000000E+00
         317.749             0.000000E+00
         318.818             0.000000E+00
         319.887             0.000000E+00
         320.955             0.000000E+00
         322.022             0.000000E+00
         323.089             0.000000E+00
         324.154             0.000000E+00
         325.219             0.000000E+00
         326.284             0.000000E+00
         327.347             0.000000E+00
         328.410             0.000000E+00
         329.472             0.000000E+00
         330.533             0.000000E+00
         331.594             0.000000E+00
         332.654             0.000000E+00
         333.714             0.000000E+00
         334.772             0.000000E+00
         335.830             0.000000E+00
         336.888             0.000000E+00
         337.945             0.000000E+00
         339.001             0.000000E+00
         340.056             0.000000E+00
         341.111             0.000000E+00
         342.166             0.000000E+00
         343.220             0.000000E+00
         344.273             0.000000E+00
         345.325             0.000000E+00
         346.378             0.000000E+00
         347.429             0.000000E+00
         348.480             0.000000E+00
         349.530             0.000000E+00
         350.580             0.000000E+00
         351.630             0.000000E+00
         352.678             0.000000E+00
         353.727             0.000000E+00
         354.775             0.000000E+00
         355.822             0.000000E+00
         356.869             0.000000E+00
         357.915             0.000000E+00
         358.961             0.000000E+00
         360.006             0.000000E+00
         361.051             0.000000E+00
         362.095             0.000000E+00
         363.139             0.000000E+00
         364.183             0.000000E+00
         365.226             0.000000E+00
         366.268             0.000000E+00
         367.311             0.000000E+00
         368.352             0.000000E+00
         369.394             0.000000E+00
         370.434             0.000000E+00
         371.475             0.000000E+00
