wolf1069
wavelength(angstroms)     flux(erg/cm2/s/a)
           0.000             0.000000E+00
           0.001             0.000000E+00
           0.002             0.000000E+00
           0.003             0.000000E+00
           0.004             0.000000E+00
           0.005             0.000000E+00
           0.006             0.000000E+00
           0.007             0.000000E+00
           0.008             0.000000E+00
           0.010             0.000000E+00
           0.012             0.000000E+00
           0.014             0.000000E+00
           0.016             0.000000E+00
           0.017             0.000000E+00
           0.019             0.000000E+00
           0.020             0.000000E+00
           0.021             0.000000E+00
           0.023             0.000000E+00
           0.024             0.000000E+00
           0.025             0.000000E+00
           0.027             0.000000E+00
           0.028             0.000000E+00
           0.029             0.000000E+00
           0.031             0.000000E+00
           0.032             0.000000E+00
           0.033             0.000000E+00
           0.034             0.000000E+00
           0.035             0.000000E+00
           0.037             0.000000E+00
           0.038             0.000000E+00
           0.039             0.000000E+00
           0.040             0.000000E+00
           0.041             0.000000E+00
           0.042             0.000000E+00
           0.044             0.000000E+00
           0.045             0.000000E+00
           0.046             0.000000E+00
           0.047             0.000000E+00
           0.048             0.000000E+00
           0.049             0.000000E+00
           0.050             0.000000E+00
           0.052             0.000000E+00
           0.053             0.000000E+00
           0.054             0.000000E+00
           0.055             0.000000E+00
           0.056             0.000000E+00
           0.057             0.000000E+00
           0.058             0.000000E+00
           0.060             0.000000E+00
           0.061             0.000000E+00
           0.062             0.000000E+00
           0.063             0.000000E+00
           0.064             0.000000E+00
           0.066             0.000000E+00
           0.067             0.000000E+00
           0.068             0.000000E+00
           0.069             0.000000E+00
           0.070             0.000000E+00
           0.072             0.000000E+00
           0.073             0.000000E+00
           0.074             0.000000E+00
           0.075             0.000000E+00
           0.077             0.000000E+00
           0.078             0.000000E+00
           0.079             0.000000E+00
           0.081             0.000000E+00
           0.082             0.000000E+00
           0.083             0.000000E+00
           0.085             0.000000E+00
           0.088             0.000000E+00
           0.089             0.000000E+00
           0.091             0.000000E+00
           0.092             0.000000E+00
           0.094             0.000000E+00
           0.095             0.000000E+00
           0.097             0.000000E+00
           0.098             0.000000E+00
           0.100             0.000000E+00
           0.102             0.000000E+00
           0.103             0.000000E+00
           0.105             0.000000E+00
           0.107             0.000000E+00
           0.108             0.000000E+00
           0.110             0.000000E+00
           0.112             0.000000E+00
           0.114             0.000000E+00
           0.115             0.000000E+00
           0.117             0.000000E+00
           0.119             0.000000E+00
           0.121             0.000000E+00
           0.123             0.000000E+00
           0.125             0.000000E+00
           0.127             0.000000E+00
           0.129             0.000000E+00
           0.131             0.000000E+00
           0.133             0.000000E+00
           0.135             0.000000E+00
           0.137             0.000000E+00
           0.139             0.000000E+00
           0.141             0.000000E+00
           0.143             0.000000E+00
           0.145             0.000000E+00
           0.147             0.000000E+00
           0.150             0.000000E+00
           0.152             0.000000E+00
           0.154             0.000000E+00
           0.157             0.000000E+00
           0.159             0.000000E+00
           0.161             0.000000E+00
           0.164             0.000000E+00
           0.166             0.000000E+00
           0.168             0.000000E+00
           0.171             0.000000E+00
           0.173             0.000000E+00
           0.176             0.000000E+00
           0.178             0.000000E+00
           0.181             0.000000E+00
           0.184             0.000000E+00
           0.186             0.000000E+00
           0.189             0.000000E+00
           0.192             0.000000E+00
           0.194             0.000000E+00
           0.197             0.000000E+00
           0.200             0.000000E+00
           0.203             0.000000E+00
           0.206             0.000000E+00
           0.209             0.000000E+00
           0.211             0.000000E+00
           0.214             0.000000E+00
           0.217             0.000000E+00
           0.220             0.000000E+00
           0.224             0.000000E+00
           0.227             0.000000E+00
           0.230             0.000000E+00
           0.233             0.000000E+00
           0.236             0.000000E+00
           0.239             0.000000E+00
           0.243             0.000000E+00
           0.246             0.000000E+00
           0.249             0.000000E+00
           0.253             0.000000E+00
           0.256             0.000000E+00
           0.259             0.000000E+00
           0.263             0.000000E+00
           0.266             0.000000E+00
           0.270             0.000000E+00
           0.273             0.000000E+00
           0.277             0.000000E+00
           0.281             0.000000E+00
           0.284             0.000000E+00
           0.288             0.000000E+00
           0.292             0.000000E+00
           0.296             0.000000E+00
           0.300             0.000000E+00
           0.304             0.000000E+00
           0.308             0.000000E+00
           0.311             0.000000E+00
           0.316             0.000000E+00
           0.320             0.000000E+00
           0.324             0.000000E+00
           0.328             0.000000E+00
           0.332             0.000000E+00
           0.336             0.000000E+00
           0.340             0.000000E+00
           0.345             0.000000E+00
           0.349             0.000000E+00
           0.354             0.000000E+00
           0.358             0.000000E+00
           0.362             0.000000E+00
           0.367             0.000000E+00
           0.372             0.000000E+00
           0.376             0.000000E+00
           0.381             0.000000E+00
           0.386             0.000000E+00
           0.390             0.000000E+00
           0.395             0.000000E+00
           0.400             0.000000E+00
           0.405             0.000000E+00
           0.410             0.000000E+00
           0.415             0.000000E+00
           0.420             0.000000E+00
           0.425             0.000000E+00
           0.430             0.000000E+00
           0.435             0.000000E+00
           0.441             0.000000E+00
           0.446             0.000000E+00
           0.451             0.000000E+00
           0.457             0.000000E+00
           0.462             0.000000E+00
           0.467             0.000000E+00
           0.473             0.000000E+00
           0.479             0.000000E+00
           0.484             0.000000E+00
           0.490             0.000000E+00
           0.496             0.000000E+00
           0.501             0.000000E+00
           0.507             0.000000E+00
           0.513             0.000000E+00
           0.519             0.000000E+00
           0.525             0.000000E+00
           0.531             0.000000E+00
           0.537             0.000000E+00
           0.544             0.000000E+00
           0.550             0.000000E+00
           0.556             0.000000E+00
           0.562             0.000000E+00
           0.569             0.000000E+00
           0.575             0.000000E+00
           0.582             0.000000E+00
           0.588             0.000000E+00
           0.595             0.000000E+00
           0.602             0.000000E+00
           0.609             0.000000E+00
           0.615             0.000000E+00
           0.622             0.000000E+00
           0.629             0.000000E+00
           0.636             0.000000E+00
           0.643             0.000000E+00
           0.650             0.000000E+00
           0.658             0.000000E+00
           0.665             0.000000E+00
           0.672             0.000000E+00
           0.680             0.000000E+00
           0.687             0.000000E+00
           0.694             0.000000E+00
           0.702             0.000000E+00
           0.710             0.000000E+00
           0.717             0.000000E+00
           0.725             0.000000E+00
           0.733             0.000000E+00
           0.741             0.000000E+00
           0.749             0.000000E+00
           0.757             0.000000E+00
           0.765             0.000000E+00
           0.773             0.000000E+00
           0.781             0.000000E+00
           0.790             0.000000E+00
           0.798             0.000000E+00
           0.806             0.000000E+00
           0.815             0.000000E+00
           0.824             0.000000E+00
           0.832             0.000000E+00
           0.841             0.000000E+00
           0.850             0.000000E+00
           0.859             0.000000E+00
           0.868             0.000000E+00
           0.877             0.000000E+00
           0.886             0.000000E+00
           0.895             0.000000E+00
           0.904             0.000000E+00
           0.913             0.000000E+00
           0.923             0.000000E+00
           0.932             0.000000E+00
           0.942             0.000000E+00
           0.951             0.000000E+00
           0.961             0.000000E+00
           0.971             0.000000E+00
           0.981             0.000000E+00
           0.991             0.000000E+00
           1.001             0.000000E+00
           1.011             0.000000E+00
           1.021             0.000000E+00
           1.031             0.000000E+00
           1.041             0.000000E+00
           1.052             0.000000E+00
           1.062             0.000000E+00
           1.073             0.000000E+00
           1.083             0.000000E+00
           1.094             0.000000E+00
           1.105             0.000000E+00
           1.116             0.000000E+00
           1.127             0.000000E+00
           1.138             0.000000E+00
           1.149             0.000000E+00
           1.160             0.000000E+00
           1.172             0.000000E+00
           1.183             0.000000E+00
           1.194             0.000000E+00
           1.206             0.000000E+00
           1.218             0.000000E+00
           1.229             0.000000E+00
           1.241             0.000000E+00
           1.253             0.000000E+00
           1.265             0.000000E+00
           1.277             0.000000E+00
           1.289             0.000000E+00
           1.302             0.000000E+00
           1.314             0.000000E+00
           1.327             0.000000E+00
           1.339             0.000000E+00
           1.352             0.000000E+00
           1.365             0.000000E+00
           1.377             0.000000E+00
           1.390             0.000000E+00
           1.403             0.000000E+00
           1.416             0.000000E+00
           1.430             0.000000E+00
           1.443             0.000000E+00
           1.456             0.000000E+00
           1.470             0.000000E+00
           1.483             0.000000E+00
           1.497             0.000000E+00
           1.511             0.000000E+00
           1.525             0.000000E+00
           1.539             0.000000E+00
           1.553             0.000000E+00
           1.567             0.000000E+00
           1.581             0.000000E+00
           1.596             0.000000E+00
           1.610             0.000000E+00
           1.625             0.000000E+00
           1.640             0.000000E+00
           1.654             0.000000E+00
           1.669             0.000000E+00
           1.684             0.000000E+00
           1.699             0.000000E+00
           1.715             0.000000E+00
           1.730             0.000000E+00
           1.745             0.000000E+00
           1.761             0.000000E+00
           1.777             0.000000E+00
           1.792             0.000000E+00
           1.808             0.000000E+00
           1.824             0.000000E+00
           1.840             0.000000E+00
           1.856             0.000000E+00
           1.873             0.000000E+00
           1.889             0.000000E+00
           1.906             0.000000E+00
           1.922             0.000000E+00
           1.939             0.000000E+00
           1.956             0.000000E+00
           1.973             0.000000E+00
           1.990             0.000000E+00
           2.007             0.000000E+00
           2.024             0.000000E+00
           2.042             0.000000E+00
           2.059             0.000000E+00
           2.077             0.000000E+00
           2.095             0.000000E+00
           2.113             0.000000E+00
           2.131             0.000000E+00
           2.149             0.000000E+00
           2.167             0.000000E+00
           2.185             0.000000E+00
           2.204             0.000000E+00
           2.222             0.000000E+00
           2.241             0.000000E+00
           2.260             0.000000E+00
           2.279             0.000000E+00
           2.298             0.000000E+00
           2.317             0.000000E+00
           2.337             0.000000E+00
           2.356             0.000000E+00
           2.376             0.000000E+00
           2.395             0.000000E+00
           2.415             0.000000E+00
           2.435             0.000000E+00
           2.455             0.000000E+00
           2.475             0.000000E+00
           2.496             0.000000E+00
           2.516             0.000000E+00
           2.537             0.000000E+00
           2.557             0.000000E+00
           2.578             0.000000E+00
           2.599             0.000000E+00
