Ts_K,quantity,LBLRTM,SMART,h16bug,h16fix,h24
250,OLR,178.1,176.1,179.02,177.51,177.60
273,OLR,224.88,222.5,226.29,223.31,223.35
300,OLR,265.97,267.5,268.73,264.19,264.24
320,OLR,281.04,285.8,283.24,278.96,279.05
340,OLR,291.44,300.3,292.87,289.38,289.44
360,OLR,294.22,300.9,293.41,290.33,290.37
250,SWDN_SFC_Sun,294.17,295.9,293.28,292.94,292.86
273,SWDN_SFC_Sun,275.25,274.5,272.05,271.40,271.34
300,SWDN_SFC_Sun,236.53,236.6,233.93,232.70,232.65
320,SWDN_SFC_Sun,200.3,201.1,199.49,198.07,197.97
340,SWDN_SFC_Sun,162.82,162.7,164.74,163.16,162.74
360,SWDN_SFC_Sun,126.22,124.4,130.16,128.83,127.70
250,SWDN_SFC_3400K,279.84,283.2,279.94,279.11,278.94
273,SWDN_SFC_3400K,244.38,243.6,241.22,239.76,239.65
300,SWDN_SFC_3400K,182.55,185.1,181.17,178.92,178.85
320,SWDN_SFC_3400K,133.76,138.1,133.87,131.72,131.67
340,SWDN_SFC_3400K,92.47,93.3,94.46,92.34,92.16
360,SWDN_SFC_3400K,60.81,58.6,64.16,62.65,62.11
